SAC ,99,"Services by an entity registered under section 12AA of the Income-tax Act, 1961 (43 of 1961) by way of charitable activities.",28/06/2017,,Nil
SAC ,99,"Services by way of transfer of a going concern, as a whole or an independent part thereof.",28/06/2017,,Nil
SAC ,99,"Pure services (excluding works contract service or other composite supplies involving supply of any goods) provided to the Central Government, State Government or Union territory or local authority or a Governmental authority(or a Government entity inserted on 25/01/2018) by way of any activity in relation to any function entrusted to a Panchayat under article 243G of the Constitution or in relation to any function entrusted to a Municipality under article 243W of the Constitution.",28/06/2017,,Nil
SAC ,99,"Services by (Central Government, State Government, Union territory, local authority or omitted on 27.07.2018) governmental authority by way of any activity in relation to any function entrusted to a municipality under article 243 W of the Constitution.",28/06/2017 Modified on 27/07/2018,,Nil
SAC ,99,"Services by a (Central Government, State Government, Union territory, local authority or ommitted on 27.07.18) Governmental Authority by way of any activity in relation to any function entrusted to a Panchayat under article 243G of the Constitution.",28/06/2017 Modified on 27/07/2018,,Nil
SAC,99,"Services by the Central Government, State Government, Union territory or local authority excluding the following services;(a) services by the Department of Posts by way of speed post, express parcel post, life insurance, and agency services provided to a person other than the Central Government, State Government, Union territory;(b) services in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport;(c) transport of goods or passengers; o;(d) any service, other than services covered under entrie;(a) t;(c) above, provided to business entities.",28/06/2017,,Nil
SAC,99,"Services provided by the Central Government, State Government, Union territory or local authority to a business entity with an aggregate turnover of up to 20 lakh rupees (10 lakh rupees in case of a special category state) in the preceding financial year. Explanation.For the purposes of this entry, it is hereby clarified that the provisions of this entry shall not be applicable to- (a) services- (i) by the Department of Posts by way of speed post, express parcel post, life insurance, and agency services provided to a person other than the Central Government, State Government, Union territory; (ii) in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport; (iii) of transport of goods or passengers; and (b) services by way of renting of immovable property.",28-06-17,,Nil
SAC,99,"Services provided by the Central Government, State Government, Union territory or local authority to another Central Government, State Government, Union territory or local authority: Provided that nothing contained in this entry shall apply to services- (i) by the Department of Posts by way of speed post, express parcel post, life insurance, and agency services provided to a person other than the Central Government, State Government, Union territory; (ii) in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport; (iii) of transport of goods or passengers.",28-06-17,,Nil
SAC,99,"Services provided by Central Government, State Government, Union territory or a local authority where the consideration for such services does not exceed 5000 Rs. Provided that nothing contained in this entry shall apply to - (i) services by the Department of Posts by way of speed post, express parcel post, life insurance, and agency services provided to a person other than the Central Government, State Government, Union territory; (ii) services in relation to an aircraft or a vessel, inside or outside the precincts of a port or an airport; (iii) transport of goods or passengers: Provided further that in case where continuous supply of service, as defined in sub-section (33) of section 2 of the Central Goods and Services Tax Act, 2017, is provided by the Central Government, State Government, Union territory or a local authority, the exemption shall apply only where the consideration charged for such service does not exceed 5000 Rs in a financial year.",28-06-17,,Nil
SAC,99,"Services received from a provider of service located in a non taxable territory by – (a) the Central Government, State Government, Union territory, a local authority, a governmental authority or an individual in relation to any purpose other than commerce, industry or any other business or profession; (b) an entity registered under section 12AA of the Income-tax Act, 1961 (43 of 1961) for the purposes of providing charitable activities; or (c) a person located in a non-taxable territory: Provided that the exemption shall not apply to – (i) online information and database access or retrieval services received by persons specified in entry (a) or entr(b); or (ii) services by way of transportation of goods by a vessel from a place outside India up to the customs station of clearance in India received by persons specified in the entry.",28-06-17,,Nil
SAC ,99,"Services received by the Reserve Bank of India, from outside India in relation to management of foreign exchange reserves.",28/06/2017,,Nil
SAC ,99,Services provided to the United Nations or a specified international organization is exempt by way of refund.,28/06/2017,,Nil
SAC ,99,"Services provided to a foreign diplomatic mission or consular post in India or for personal use or for the use of the family members of diplomatic agents or career consular officers posed therein, is exempt by way of refund.",28/06/2017,,Nil
SAC ,99,Services by the Central Government or State Government or any local authority by way of any activity in relation to a function entrusted to a Panchayat under article 243G of the Constitution is neither a supply of goods nor a supply of service,28/06/2017,,Nil
SAC ,99,"Taxable services, provided or to be provided, by a Technology Business Incubator or a Science and Technology Entrepreneurship Park recognised by the National Science and Technology Entrepreneurship Development Board of the Department of Science and Technology, Government of India or bio-incubators recognised by the Biotechnology Industry Research Assistance Council, under the Department of Biotechnology, Government of India.",28/06/2017,,Nil
SAC ,99,"Services provided by and to Fédération Internationale de Football Association (FIFA) and its subsidiaries directly or indirectly related to any of the events under FIFA U-17 World Cup 2017 to be hosted in India Provided that Director (Sports), Ministry of Youth Affairs and Sports certifies that the services are directly or indirectly related to any of the events under FIFA U17 World Cup 2017.",22/08/2017,,Nil
SAC ,99,"Composite supply of goods and services in which the value of supply of goods constitutes not more than 25 per cent. of the value of the said composite supply provided to the Central Government, State Government or Union territory or local authority or a Governmental authority or a Government Entity by way of any activity in relation to any function entrusted to a Panchayat under article 243G of the Constitution or in relation to any function entrusted to a Municipality under article 243W of the Constitution.",25/01/2017,,Nil
SAC ,9954,"Services provided by way of pure labour contracts of construction, erection, commissioning, installation, completion, fitting out, repair, maintenance, renovation, or alteration of a civil structure or any other original works pertaining to the beneficiary-led individual house construction or enhancement under the Housing for All (Urban) Mission or Pradhan Mantri Awas Yojana.",28/06/2017,,Nil
SAC ,9954,"Services by way of pure labour contracts of construction, erection, commissioning, or installation of original works pertaining to a single residential unit otherwise than as a part of a residential complex.",28/06/2017,,Nil
SAC ,9954,Other construction services,28/06/2017,,18
SAC ,9954,"Construction of a complex, building, civil structure or a part thereof, including a complex or building intended for sale to a buyer, wholly or partly, except where the entire consideration has been received after issuance of completion certificate, where required, by the competent authority or after its first occupation, whichever is earlier. (the value of land is deemed to be one-third of the total amount charged for such supplies)",28/06/2017,,18
SAC ,9954,"Composite supply of Works contract as defined in clause 119 of section 2 of CGST Act, 2017",28/06/2017,,18
SAC ,9954,"Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017(inserted on 14/11/2017), provided to the Central Government, State Government, Union Territory, a local authority or a governmental authority or government entity by way of construction, erection, commissioning, installation, completion, fitting out, repair, maintenance, renovation, or alteration of Ð (a) a civil structure or any other original works meant predominantly for use other than for commerce, industry, or any other business or profession; (b) a structure meant predominantly for use as (i) an educational, (ii) a clinical, or(iii) an art or cultural establishment; or (c) a residential complex predominantly meant for self-use or the use of their employees or other persons specified in paragraph 3 of the Schedule III of the Central Goods and Services Tax Act, 2017.",21/09/2017,,12
SAC ,9954,"Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017, involving predominantly earth work (that is, constituting more than 75 per cent. of the value of the works contract) provided to the Central Government, State Government, Union territory, local authority, a Governmental Authority or a Government Entity.",13/10/2017,,5
SAC ,9954,"Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017(inserted on 14/11/2017), provided to the Central Government, State Government, Union Territory, a local authority or a governmental authority or government entity by way of construction, erection,commissioning, installation, completion, fitting out, repair, maintenance, renovation, or alteration of Ð (a) a civil structure or any other original works meant predominantly for use other than for commerce, industry, or any other business or profession; (b) a structure meant predominantly for use as (i) an educational, (ii) a clinical, or(iii) an art or cultural establishment; or (c) a residential complex predominantly meant for self-use or the use of their employees or other persons specified in paragraph 3 of the Schedule III of the Central Goods and Services Tax Act, 2017. Explanation (inserted on 27/07/2018) :- “Explanation. - For the purposes of this item, the term ‘business’ shall not include any activity or transaction undertaken by the Central Government, a State Government or any local authority in which they are engaged as public authorities.”.",13/10/2017,,12
SAC ,9954,"Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017, supplied to the Central Government, State Government, Union territory, a local authority, a Governmental Authority or a Government Entity by way of construction, erection, commissioning, installation, completion, fitting out, repair, maintenance, renovation, or alteration of, - (a) a historical monument, archaeological site or remains of national importance, archaeological excavation, or antiquity specified under the Ancient Monuments and Archaeological Sites and Remains Act, 1958 (24 of 1958); (b) canal, dam or other irrigation works; (c) pipeline, conduit or plant for (i) water supply (ii) water treatment, or (iii) sewerage treatment or disposal.",22/08/2017,,12
SAC ,9954,"Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017, supplied by way of construction, erection, commissioning, installation, completion, fitting out, repair, maintenance, renovation, or alteration of,- (a) a road, bridge, tunnel, or terminal for road transportation for use by general public; (b) a civil structure or any other original works pertaining to a scheme under Jawaharlal Nehru National Urban Renewal Mission or Rajiv Awaas Yojana; (c) a civil structure or any other original works pertaining to the “ln-situ redevelopment of existing slums using land as a resource, under the Housing for All (Urban) Mission/ Pradhan Mantri Awas Yojana (Urban);’;(substituted on 25/01/2018) (d) a civil structure or any other original works pertaining to the ÒBeneficiary led individual house construction / enhancementÓ under the Housing for All (Urban) Mission/Pradhan Mantri Awas Yojana; (e) a pollution control or effluent treatment plant, except located as a part of a factory; or (f) a structure meant for funeral, burial or cremation of deceased.",22/08/2017,,12
